name,text
1604607836797169664,"@MauriceHoefgen Kommentar ohne Hirn 🧠 
Es ist doch gut wenn Sie neben der Politik noch was dazu machen. 
Aber man k… https://t.co/ughavitK5P"
1604518130180624385,@kris Not bad 😅
1604198233072246784,@AlphaMA1Bomber @cz_binance @OpenAIChat_BOT No😂
1601351898660888576,@bentley_rent @Michael80940568 @marcfriedrich7 😂
1600399002796695553,Merry Christmas 🎁🎄 🤣👍 https://t.co/e7mGideNNt
1599715038616424448,"@defichain @DeFiChainInfo Wieso bekommt man nicht DUSD stabilisiert?
Welche Pläne gibt es damit es wieder zurück auf 1USD kommt?"
1596415938714546176,Beautiful mountains 🏔❄️🏂⛷ https://t.co/DIXZngcjwq
1596415319471706112,"@coinchaserCRO @cryptocom @FIFAWorldCup You don’t use the supercharger from https://t.co/OCrRgT7qfS?
It seems that the returns are not good"
1596415016336781314,"@coinchaserCRO @cryptocom @FIFAWorldCup Great.
🙏🏼 thank you"
1596414770273570817,@Aleksan52094351 Where is this place?
1596213760951463936,#thailand #travel
1596213604139012096,"Koh Yao Noi Island, Thailand 🇹🇭🏝☀️ https://t.co/4CsoeWTR8A"
1596211468759928832,@oninodin @TheMoonCarl 😂👍
1596058808761319424,@coinchaserCRO @cryptocom @FIFAWorldCup How you get almost 12%?
1595170155595649024,"@marcfriedrich7 @elonmusk Hinschauen statt wegschauen. Wäre keine WM in Katar, dann würde keiner hinschauen = kein… https://t.co/SH7YgCaSSg"
1594098504531464192,@MMCrypto @elonmusk Why I can see only 2 answers here? Other are blocked?
1593984306032033794,"@ThierryIanek @elonmusk Yes I agree! Free speech = real freedom 
Greetings from 🇨🇭🗻"
1593983619911061506,"@marcfriedrich7 @elonmusk Why?
Only because of football people look at Katar 🇶🇦 and now they are and will be in pre… https://t.co/cE57xjPCbo"
1593883119140147201,@karlwbrown @BTC_Archive @PrestonPysh Yes happend on my side 😟
1593881662945103872,"@elonmusk Free speech for everyone is real freedom! 
@elonmusk you can help here!
Nice greetings from 🇨🇭"
