name,text
1605612774234525700,"@JoannaTees Hi Joanna, thanks for your kind words🧡💙"
1605607810376425478,"@JoannaTees Good afternoon Joanna, thanks for your feedback and choosing Hays. I will pass this back to the branch :) - Thanks Alisha"
1605504165282607104,"@BirkbeckLucy @dcnwelers @SheffieldStar Hi Lucy, could you please send us a direct message so with your HAY booking… https://t.co/3ov2zmpqPx"
1605497730868051969,"@BirkbeckLucy @dcnwelers @SheffieldStar Good morning Lucy, we sincerely apologise you feel this way. If you would l… https://t.co/GAE8d4ppge"
1605496893508702208,"@newcastle29 @CharlieBathgate Good morning, thanks for this. We have messaged the customer to get this resolved. - Thanks Alisha"
1605496247221043200,"@robberred1993 @FredOlsenCruise @ambassadorcruis Good morning, we are glad to of helped. We hope your dad has a fab… https://t.co/YfDz7q9Tfc"
1605491523541340160,"@sammlong55 Good morning Sandra, I have responded to you via direct message, thanks - Lucy"
1605226108567588864,"@newcastle29 Good Afternoon, I'm very sorry to hear about the issue you are having with your holiday, please send u… https://t.co/vHEXDlDYDT"
1604779112828059648,"With the #NewYear fast approaching and 2022 coming to a close, now is the perfect time to take a moment, reflect an… https://t.co/vWtI1JIdWE"
1603812201026011151,"We're really getting into the Christmas spirit on the run up to the big day &amp; so are our pets 🎄😻

Show us your fest… https://t.co/pAfUC6ew4s"
1603048157373698048,"@tinkoshothot Good Afternoon Debra, I'm sorry that you feel this way but if you can drop us a direct message we can… https://t.co/bWlofhxmMz"
1602976100887724032,"@heyitsAnisha Good morning Anisha, I'm very sorry to hear this as this is not how we want our customers to feel. Pl… https://t.co/8gKpYBkGR3"
1602658623679008769,"@vickymanutd7 Good afternoon Victoria, I am very sorry to hear about this as it is not how we want our customers to… https://t.co/axusfZ4Deh"
1602628617418461184,"@thetift Good morning Glenn, If there is something that you are unhappy with we will be more than happy to look int… https://t.co/mOMvYbyEfz"
1602616537319440384,"🎁 Win your holiday for FREE in our great Jet2holidays Giveaway! 🎁

🎉 Book your Jet2holidays getaway with Hays Trave… https://t.co/kzwmN1FhwU"
1602370217182892032,"Our Social Media Manager, Natalie has just returned from 4 nights in Paphos with Classic Collection for the… https://t.co/8GOrcarHod"
1602254332686393344,"@vickymanutd7 Good morning Victoria, I'm so sorry to hear about the issues you have had, and this is not how we wan… https://t.co/uhLmgRYL71"
1600820226408734720,"@dcnwelers Good Morning Mark, If you can send us a private message I will be able to have a look at this in more de… https://t.co/KTG8qlqXyP"
1600415909243326464,"@dcnwelers @SheffieldStar Good Morning Mark, I apologise about your experience. If you could please send us a messa… https://t.co/gPrB322GgJ"
1600123339082563584,"@bethsurgey Good afternoon, I'm sorry to hear about your bad experience with your hotel, can you send us a private… https://t.co/HCqUZT3mPw"
1600095220196335616,"Are you ready to tick some destinations off your bucket list?😍

Do you fancy embarking on a cruise, or an island-ho… https://t.co/Vvh4zbACTR"
1600031648346607616,@Andy_Freeth Its amazing to hear you're all having an amazing time Andy! Take Care and Enjoy - Eve 😊
1599815348299014144,"@RattezDJ Good Afternoon Anthony, I am sorry to hear that this is how you feel. We have sent you a message regarding this. Thanks - Eve"
1599765323669913601,"@Mommyof3_angels @TUIUK @jet2tweets @OntheBeachUK Good Afternoon, I hope that you're well :) If you would like to p… https://t.co/wUWJNs3rmc"
1599706160436649984,"😍 Win a Travelmarvel Christmas Markets Cruise with APT 😍

To be in a chance of winning this unforgettable river cru… https://t.co/szLWOSADk5"
1599702562747269121,"@RattezDJ Good Morning Anthony, I'm sorry to hear you are not happy with Hays Travel.  Please send us a direct mess… https://t.co/EOOWmMRdBX"
1599453494129590272,"Join our Social Media Manager, Natalie as she discovers Paphos at the Classic Collection Awards 🧳

Whilst there she… https://t.co/q540FGWi1q"
1598703729569570818,"🍁Canada &amp; New England🍁

⚓23rd Sept 2023
⚓24 nights, Full Board
⚓Sailing on Sky Princess
⚓No fly- sailing from South… https://t.co/zWWLTK88gC"
1598702450919153664,"🏝Caribbean Tropical Passage🏝

⚓10th Nov 2023
⚓15 nights, Full Board
⚓Sailing on Sky Princess

🌎Cruise highlights in… https://t.co/1I9W4CR2vh"
1598699474804768769,"🗻Sail Alaska's Inside Passage🗻

⚓5th Sep 2023
⚓10 nights, Full Board
⚓Sailing on Crown Princess
⚓Flying from select… https://t.co/VTknEzA2yx"
