name,text
1604803149226823680,Is @ElonMusk going to abide by the result of his poll? https://t.co/0yzHXXrvu1
1604507668755922944,The Samsung Galaxy S23 could be launching later than we expected https://t.co/dInc5Vr8XZ
1604465108704378882,The OnePlus 11 has appeared in its first official teaser https://t.co/FWdIkvjMJq
1604448178790604800,"Every Sean Connery James Bond movie ranked, from worst to best https://t.co/0rn42eqQbM"
1604432563879251969,"I swapped my Apple Watch Ultra for a cheaper Garmin, and I don't regret it https://t.co/jAUXXU7y0R"
1604416907179868161,Apple patent points to MacBook keys that change dynamically https://t.co/dDXCf7Plvn
1604175929248456704,Dell's wild sustainable laptop can be taken apart and put back together in two minutes https://t.co/bzSQVBlKT0
1604139428494151680,LG B2 review: a budget OLED TV that's great for gaming https://t.co/sXuPQ9q7Xw
1604139213947305984,Samsung Galaxy S23 dummy units show off the look of the flagship phones https://t.co/JY8uf0aFM0
1604117081187930112,Running into some macOS Ventura issues? Here's how to solve the biggest ones. https://t.co/MLb7R9gPv6
1604110034958532608,Windows 11 gaming bug fix is now rolling out to everyone https://t.co/3F6J4K1BEr
1604077802243985409,The first totally wireless TV can be stuck to any wall you like https://t.co/06imPt9eov
1603934300323434496,Have you tried these potential fixes yet? https://t.co/5FVC3Wnzbd
1603905126829277185,It will be an entirely new chapter in Lara Croft's saga https://t.co/EBLofGWQUg
1603872047658065925,"Google Wallet will soon host your digital driver's license, but only in one state https://t.co/lDaSYhtgu2"
1603846089253199878,The RTX 4080 is an excellent graphics card with a lot going for it but its launch has been rocky to say the least.… https://t.co/FM2afycWxN
1603827381361311748,What are you watching this weekend? 🤔 https://t.co/E6tvjzEYwD
1603813654138437670,The next generation of QD-OLED TVs will have larger screens and even better blacks https://t.co/L2D0gnYknx
1603797170699882496,Turns out life in plastic really is fantastic https://t.co/JAGwjMudrZ
1603783361662750721,HTC announces surprise VR headset to take on the Meta Quest Pro https://t.co/BLBPt5eNd3
