name,text
1605625478705971203,"In this episode of In Machines We Trust, learn how the agriculture industry uses AI in unexpected ways, like tracki… https://t.co/BBuryUKRCL"
1605619283920289801,"This year's list includes zero covid, a fraudulent crypto exchange, Elon Musk’s content moderation, and five other… https://t.co/CdDMcif1uA"
1605583438924374017,"Today in The Download, our daily newsletter: the worst tech of 2022, and what's next for crypto. Plus: why it's so… https://t.co/f8JoUQOYwX"
1605578285169229824,A new report digs into the porn spam that drowned out China's covid protests—and finds they were likely not enginee… https://t.co/bS4nw6104R
1605248875136225290,2023 will see a fight for the soul of “decentralized finance.” Buckle up. https://t.co/Pz5CsWOa2N
1605220487113711616,"Today in The Download, our daily newsletter: home robot surveillance, and problematic AI-generated text. https://t.co/yzemp73ax9"
1605215250499903493,"This week in The Algorithm, our weekly newsletter on artificial intelligence: This is how AI-generated text is pois… https://t.co/vftumw5qtT"
1604922602300080134,RT @eileenguo: NEW FROM ME: I investigated the origins of 15 video stills taken from inside homes by robot vacuums and shared to social med…
1604862512574373890,The internet is increasingly awash with AI-generated text. Here's how to detect whether something was written by a… https://t.co/pjARy7vM9E
1604857089729462278,New: iRobot’s Roomba vacuum took a photo of a woman on the toilet and it ended up on Facebook. But the company says… https://t.co/EKdGtTS6TA
1604852091364806660,"Today in The Download, our daily newsletter: metaverse ethics, and how to spot AI-generated text. https://t.co/uEPRiFLlwp"
1604839063814606848,"[SPONSORED] Machine learning (ML) systems at scale require novel security approaches to detect, prevent, and mitiga… https://t.co/svNk8UVIbq"
1604808825722339328,"[In partnership with @Infosys #InfosysCobalt]  Regenerative agriculture, enabled by AI, machine learning, and the c… https://t.co/yKGZ3bUP4T"
1604506898799239171,"[SPONSORED] Implementing best practices that detect, prevent, and mitigate potential threats can better ensure that… https://t.co/tP3vXFoECO"
1604476688846688257,[In partnership with @Infosys #InfosysCobalt]  As the population grows and climate change continues to threaten cro… https://t.co/ya7RYCmnKy
1604446471998373889,[SPONSORED] The “blue technology leaders” are making significant progress and commitment toward protecting ocean su… https://t.co/1XE3dwqz6m
1604144464628514817,"1st 🇦🇺
2nd 🇳🇱
3rd 🇰🇷
4th 🇺🇸
5th 🇨🇦

[SPONSORED] These leaders are making significant progress and commitment toward… https://t.co/yrzPgs1bIx"
