name,text
1603790946134806528,RT @globeandmail: How to survive travel through Canada’s airports this holiday https://t.co/gj9bjMHXtC
1603499550064676865,RT @globeandmail: How to survive holiday travel through Edmonton International Airport https://t.co/cf9czMEM2j
1603499542623944704,RT @globeandmail: How to survive holiday travel through Toronto’s Pearson International Airport https://t.co/QXFslcxW5A
1603495260071825408,RT @globeandmail: How to survive holiday travel through Montreal-Trudeau International Airport https://t.co/T7G8NpXUUT
1603495252358500352,RT @globeandmail: How to survive holiday travel through Calgary International Airport https://t.co/K94S3wthuZ
1603495245202993154,RT @globeandmail: How to survive holiday travel through Vancouver International Airport https://t.co/CjA03xshUO
1603028797208825859,RT @globeandmail: A restaurant revolution has arrived in Palm Beach https://t.co/Fgj4DW03kk
1602710951937347584,RT @globeandmail: Toronto’s Pearson airport shares travel tips in effort to get ahead of busy holiday season https://t.co/Fm8zok366E
1600491957394214913,RT @globeandmail: Snowbird report: Why Colombia is on my retirement radar https://t.co/OuRUJw047c
1595847729212948480,RT @globeandmail: This adventurer helps people living with vision loss cut through fresh snow https://t.co/SymOA9gFvo
1593278050376249344,RT @globeandmail: Why is Bhutan’s visitor fee US$200 per day? https://t.co/RHYIAdwwBe
1593213872760324097,RT @globeandmail: Hiking in Bhutan brought me a whole lot closer to Shangri-la https://t.co/4Yz7dK2xMT
1592851110477582337,RT @globeandmail: What does a luxury escape look like after the pandemic? https://t.co/Bo3ARmIZBB
1591071645955129346,"RT @globeandmail: On an Arctic expedition cruise, expect the spectacularly unexpected https://t.co/6fp9OvaxYz"
1591071639000973313,RT @globeandmail: What do you eat by the Mackenzie Delta? https://t.co/P9oQ48vU9h
1591071631602249728,RT @globeandmail: Revisiting the Northwest Passage: A journey to the new and the familiar https://t.co/AQnyd6vcrf
1591038797965582336,"RT @globeandmail: This month’s travel news: Arctic tourism is on the rise, American Airlines grounds first-class air travel, and tour Europ…"
1590345599001726977,"RT @globeandmail: Visiting Bletchley Park, the secret ‘intelligence factory’ that helped win the war https://t.co/uy9nj75UIN"
1585257326638137348,RT @globeandmail: Family winter escape plan: Quebec City &amp; Mont-Sainte-Anne https://t.co/EIkqRzSZnL
1584622264527777792,RT @globeandmail: Is inflation affecting travel points and miles? https://t.co/IoVZX6g5yx
