name,text
1590365120764461056,RT @AP_Oddities: Security officers at a South Florida airport reported finding a handgun hidden inside a raw chicken packed in a traveler's…
1554143783503233027,Carnival Cruise Line announces Covid-19 policy adjustments including no pre-cruise testing for fully vaccinated gue… https://t.co/hoToYQ36QN
1543330106562805762,"July 4th Air Travel: 600 flights are cancelled and 2,800 are delayed so far https://t.co/YvG6z1DNTj"
1521612775977541632,CDC says travelers should still wear masks on airplanes https://t.co/wJPKwmWFRA
1511903597403033600,"RT @dallasnews: Los Angeles bans official travel to Texas, Florida over LGBTQ policies https://t.co/Uz5dAPHHnD"
1490704631659483143,RT @dallasnews: Frontier Airlines buying Spirit in $3 billion low-cost carrier deal https://t.co/9LekluvZxx
1490001860010418177,Crystal Symphony and Crystal Serenity seized by authorities in the Bahamas with passengers on board https://t.co/bqb4bwOomZ
1474362160251871234,Major airlines canceling flights as Omicron spreads rapidly in the U.S. https://t.co/V1zhbr6l71
1425867631509352450,"RT @TrishaThadani: SCOOP: San Francisco will become second U.S. city to require proof of vaccination for many indoor activities, like going…"
1373988135361781765,RT @Reuters: U.S. air travelers top 1.5 million for first time since March 2020 https://t.co/bEqZThPgbq https://t.co/avEj3dBMZa
1340694522456666113,RT @BNODesk: NEW: Germany becomes 6th country to ban air travel from the UK
1329474683499122696,The CDC recommends against travel for Thanksgiving because of Covid-19. https://t.co/yKTYRcKSqP
1283960551572484096,RT @gamersgame: Microsoft has released trailers for its impressive upcoming Microsoft Flight Simulator. https://t.co/lxpGBOWjXY https://t.c…
1255987647811653632,RT @NBCDFW: #BREAKING -- American Airlines Will Require All Customers to Wear Face Mask --&gt; https://t.co/WKLcKiSZES
1251629454398496770,RT @AP_Europe: The passengers and crew on an around-the-world cruise which started before the globe was gripped by the coronavirus pandemic…
1237948705875124224,The U.S. State Department has issued a Global Level 3 Health Advisory: Reconsider Travel. Citizens are advised to r… https://t.co/xYkLzzeTo9
1236758096841781248,"RT @health: The U.S. State Department is warning Americans not to travel on cruise ships. The warning says, ""U.S. citizens, particularly tr…"
1236516957677137920,RT @health: Report; White House overruled CDC recommendation that elderly and physically fragile Americans be advised not to fly on commerc…
1234502358312325120,"RT @BNODesk: BREAKING: Tajikistan has informed airlines that it will deny entry to citizens of 35 countries due to coronavirus, including t…"
1234174235100225538,The Louvre Museum in Paris has closed because of the coronavirus https://t.co/ILVZC5h7rm
