name,text
1604809101170573313,"On today's TTG Daily: 

🚢 Cruise line cancels voyage at last minute over lifeboat issue
⛰️ Hundreds stranded as… https://t.co/kLvVXOaPmb"
1604804268288081922,"Wizz Air (@wizzair) has urged passengers waiting for their complaints to, and claims against, the carrier to be res… https://t.co/HcqCuyBgxZ"
1604802086440341504,"Claire Coid has been appointed sales manager UK and Ireland at Rogers Hospitality, the Mauritian firm overseeing He… https://t.co/6RkafGvwtW"
1604796688086044675,"Combining fascinating history, natural beauty and brilliant attractions, discover why Belfast is a welcoming and vi… https://t.co/p8dvO5djG6"
1604784082650509313,Former Carnival Cruise Line (@CarnivalCruise) head of sales Chiara Brooker has joined Light Blue Travel (… https://t.co/tBoBAEDAJa
1604778618890117121,Our last week of the #TTGChristmasCountdown with @jet2tweets has begun! You only have four more days to enter the d… https://t.co/Wub3J0FoYK
1604771329118326784,Ambassador Cruise Line (@ambassadorcruis) has been forced to cancel a #Christmas sailing after an issue with a life… https://t.co/FwZSeYOUV9
1604765815542550530,"At least 36 people have been injured – 11 seriously – after an aircraft was reportedly hit by ""severe"" turbulence o… https://t.co/HR8tkAwLo4"
1604762414704201733,"Hydrogen will likely have a ""specific but limited"" role in the UK’s aim to reach net zero carbon emissions by 2050,… https://t.co/SDN16SWUi6"
1604757227918737410,"What's making today's bulletins?

✈️ Airport strikes to ‘wreak havoc’ over #Christmas

🇵🇪 #Peru evacuates hundreds… https://t.co/CEoFzpiZ6r"
1604756819930673152,Hundreds of tourists stranded at #MachuPicchu have been evacuated amid ongoing anti-government protests across… https://t.co/lwb4UbG4iV
1604746654632087555,"Hays Travel’s (@HaysTravel) homeworking division has held its first-ever pre-peaks virtual conference, attended by… https://t.co/6coeXlpztC"
1604742714125344769,P&amp;O Cruises' (@pandocruises) new ship Arvia arrived in its homeport of #Southampton on Sunday (18 December) ahead o… https://t.co/eMsspOQyOU
1604739605772779521,"Blue Bay Travel’s (@BlueBayTravel) homeworking arm has unveiled a new series of training initiatives, designed to p… https://t.co/AB1ZH3eLYi"
1604739474780479488,"An estimated five million passengers are set to travel abroad over the #Christmas and #NewYear period, according to… https://t.co/4JKvVhvZF8"
1603785489693245441,"Agents have been quick to criticise Sandals' decision to end price parity, with some suggesting it may prompt them… https://t.co/9ORvwmlQta"
1603782099533717504,"Congratulations to Julie from Barrhead Travel, you're a winner in the #TTGChristmasCountdown with Jet2holidays… https://t.co/rOy69qYspf"
1603758094609162245,"For clients seeking a wellness-themed escape, suggest Gdas Bali Health and Wellness Resort. It's a new eco-friendly… https://t.co/J8MIhQg26E"
1603756279058546689,The vast majority of #UK holidaymakers say that sustainability is now “important” for them when selecting a destina… https://t.co/wPe0nq0eYo
1603752850634448896,"Sandals (@SandalsResorts) has announced plans to end price parity for travel agents next Monday (19 December), but… https://t.co/Et3u2QJqnc"
